code,title,type
COP347,Actionable controls for improving governance and compliance,Breakout session
COP312,Architecting Security at Scale with AWS Cloud Governance,Chalk talk
COP406,Build and automate policy as code,Builders' session
COP350,Building and validating cloud controls with generative AI,Breakout session
COP353,Building your data protection strategy with governance controls,Chalk talk
SEC306,Data perimeter challenge,Builders' session
COP309,Establishing effective cost governance,Chalk talk
NTA315,Extending governance across clouds,Chalk talk
COP346,Governance that Enables Innovation at Scale feat. Eli Lilly,Breakout session
COP324,Moving AWS Accounts seamlessly at scale,Chalk talk
SEC214,Patterns for multiple AWS organizations for mergers and divestitures,Chalk talk
NTA309,Sandbox Magic: No Spells Required,Workshop
COP318,Tag like a pro: Optimize multi-account resource tracking,Chalk talk
SEC335,Threat modeling for AWS identity: From federation to resource access,Chalk talk
